"JSON_parentId","geometry_type","properties_level_id","properties_location_type","properties_parent_station","properties_platform_code","properties_stop_code","properties_stop_desc","properties_stop_id","properties_stop_name","properties_stop_timezone","properties_stop_url","properties_wheelchair_boarding","properties_zone_id","type"
"stops.geometry_6dc55d0c997c79192da9d64179e0d07f","Point","","0","","A","","","U6954Z1","Zálužická","","","0","B","Feature"
"stops.geometry_299d175cf291448383c4979d0eda7a7b","Point","","0","","B","","","U6954Z2","Zálužická","","","0","B","Feature"
"stops.geometry_f2b7bc13813d86666ddb648baefd9b7e","Point","","0","","A","","","U6955Z1","Ohrobec,Zvolská","","","0","1","Feature"
"stops.geometry_34620b1a5f0586433a1be11baf6666cd","Point","","0","","B","","","U6955Z2","Ohrobec,Zvolská","","","0","1","Feature"
"stops.geometry_adb92d21fb11c1cd8fef2a2fac0872d6","Point","","0","","A","","","U695Z1P","Spolská","","","0","P","Feature"
"stops.geometry_43e754ac91f6e7a747a35836158c90ed","Point","","0","","B","","","U695Z2P","Spolská","","","0","P","Feature"
"stops.geometry_9444443f69d3fb6e375c58cd82021b5d","Point","","0","","A","","","U696Z1P","V Kratinách","","","0","P","Feature"
"stops.geometry_544d6994292d77fb66ce4b3f09fec53c","Point","","0","","B","","","U696Z2P","V Kratinách","","","0","P","Feature"
"stops.geometry_40da609578f0dc82c923f8f7b6e2a85d","Point","","0","","A","","","U697Z1P","Spořilov","","","1","P","Feature"
"stops.geometry_974e90d276f3081a8d59a0d21454b5c2","Point","","0","","B","","","U697Z2P","Spořilov","","","1","P","Feature"
"stops.geometry_0d84b7a643544a099614fff1a9797fb4","Point","","0","","C","","","U697Z3P","Spořilov","","","0","P","Feature"
"stops.geometry_4b7c2d8fa1d54a1bf057ecb876d013d8","Point","","0","","D","","","U697Z4P","Spořilov","","","0","P","Feature"
"stops.geometry_5650ec96272a4c2743604c0771b74683","Point","","0","","E","","","U697Z5P","Spořilov","","","0","P","Feature"
"stops.geometry_1748360cf151f21db073643a00b71b6a","Point","","0","","F","","","U697Z6P","Spořilov","","","0","P","Feature"
"stops.geometry_023b2623d614d5d219091ef3f854e012","Point","","0","","G","","","U697Z7P","Spořilov","","","0","P","Feature"
"stops.geometry_13e5832748b2e51689725f7acf89f61b","Point","","0","","A","","","U698Z1P","Terminál 3","","","0","P","Feature"
"stops.geometry_84b5b45b528e24641c9f779535d98459","Point","","0","","B","","","U698Z2","Terminál 3","","","0","B","Feature"
"stops.geometry_f992358ff5e7d5c976475a6f94b259f6","Point","","0","","B","","","U698Z2P","Terminál 3","","","0","P","Feature"
"stops.geometry_9a2632fe0d4179ad7072687e1b85ce11","Point","","0","","C","","","U698Z3","Terminál 3","","","0","B","Feature"
"stops.geometry_4169611088da1c91c94b05e9f8448f6c","Point","","0","","A","","","U699Z1P","Stadion Strahov","","","0","P","Feature"
"stops.geometry_b1bd801f1ab6fc63f8be1213995df307","Point","","0","","B","","","U699Z2P","Stadion Strahov","","","0","P","Feature"
"stops.geometry_a2abafa20d08411438b8fc1f67ba722a","Point","","0","","C","","","U699Z3P","Stadion Strahov","","","0","P","Feature"
"stops.geometry_8c1ee0fcc794e233a6707f795cf4b7dd","Point","","0","","D","","","U699Z4P","Stadion Strahov","","","0","P","Feature"
"stops.geometry_328310d0f1c9f3490f5a7ca63c7b9dcf","Point","","0","","A","","","U69Z1P","Černínova","","","0","P","Feature"
"stops.geometry_867747c6f831fc1f8a33bf41f8905782","Point","","0","","B","","","U69Z2P","Černínova","","","0","P","Feature"
"stops.geometry_2c38f497cfbaf9125594f009e6d721bf","Point","","0","","A","","","U6Z1P","Dolnokřeslická","","","0","P","Feature"
"stops.geometry_ece8e3f41da29f68dddd2143d4aad649","Point","","0","","B","","","U6Z2P","Dolnokřeslická","","","0","P","Feature"
"stops.geometry_c4e744f24e9a766f159a40cf6bbb39a9","Point","","0","","A","","","U700Z1P","Staré náměstí","","","0","P","Feature"
