latitude,longitude,altitude,geometry,coordinates,@id,bus,highway,public_transport,name,ref,ref:PID,network,operator,wheelchair,official_status,railway,source,tram,name:de,shelter,direction,local_ref,tactile_paving,note,name:ru,name:cs,wikidata,wikipedia,colour,network:cs,network:en,network:ru,station,subway,transport,level,name:en,name:it,name:nl,alt_name:de,old_name,name:uk,railway:ref,train,uic_ref,bench,bin,destination,old_name:de,start_date,toilets:wheelchair,wheelchair:description,alt_name,layer,entrance,opening_hours,disused,covered,platforms,internet_access,bicycle,route_ref,name:tr,disused:public_transport,door,type,departures_board,amenity,official_name,description,fee,noexit,int_name,lines,access,public_transport:version,name:he,name:es,name:fi,name:fr,name:ja,name:zh,short_name,elevator,description:cs,description:en,bus_routes,capacity,stroller,website,name:ko,barrier,automatic_door,name:be,network:de,depth,name:1971-1990,alt_name:ru,name:1985-1990,check_date,name:1862-1919,name:1919-1940,name:1940-1945,name:1945-1952,name:1953-1990,name:1990-,name:de:1862-1919,name:de:1919-1940,name:de:1940-1945,ele,fixme
49.9859071,14.3642264,,Point,,node/24595666,,,,Praha-Radotín,,,,cz:SŽDC,,,station,,,Prag-Radotin,,,,,,,,,,,,,,,,,,,,,,,,532564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0342236,14.4459764,,Point,,node/24595766,,,station,Praha-Krč,,,,cz:SŽDC,,,station,,,Prag-Reuth,,,,,,,,Q573196,cs:Praha-Krč (nádraží),,,,,,,,,,,,,,,571562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1166898,14.6125065,,Point,,node/24595941,,,,Praha-Horní Počernice,,,,,,,station,,,Prag-Ober Potschernitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0969717,14.3995609,,Point,,node/24596053,,,,Praha-Dejvice,,,,cz:SŽDC,,,station,,,Prag-Dejwitz,,,,,,,,Q11826597,cs:Praha-Dejvice (nádraží),,,,,,,,,,,,,,,570663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0822727,14.5981792,,Point,,node/24952342,,,,Praha-Běchovice,,,,SŽDC,,,station,,,Prag-Biechowitz,,,,,,,,,,,,,,,,,,,,,,,,530162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1006911,14.5022882,,Point,,node/24952345,,,stop_position,Praha-Libeň,,,,SŽDC,,,station,,,Prag-Lieben,,,,,,,,,,,,,,,,,,,,,,,,571760,yes,5457176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.120313,14.4388877,,Point,,node/24958973,,,stop_position,Nad Trojou,U447Z1,,,,,,tram_stop,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0988536,14.4387485,,Point,,node/24959003,,,stop_position,Vltavská,U100Z2,,,,,,tram_stop,Bing;cuzk,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1105268,14.5145824,,Point,,node/24969827,yes,bus_stop,stop_position,Kolbenova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0574993,14.5835068,,Point,,node/25450779,yes,bus_stop,platform,Lázeňka,,U1059Z2,,,,,,,,,,backward,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1088485,14.578611,,Point,,node/25450818,yes,bus_stop,platform,Černý Most,,,,,yes,,,,,Schwarze Brücke,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1087028,14.5774841,,Point,,node/25450819,yes,bus_stop,platform,Černý Most,,,,,yes,,,,,Schwarze Brücke,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.1085994,14.5766402,,Point,,node/25450820,yes,bus_stop,platform,Černý Most,,,,,,,,,,Schwarze Brücke,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
